,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
441194873_18436995793015183_5897724158877825507_n.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444500969_814925486842510_247374699371162267_n.webp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929465115070343,0.9167766571044922,0.6880494356155396,0.5343309640884399,0.5158758163452148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447619913_424252503860357_4071290716504873426_n.heic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9096267223358154,0.5546701550483704,0.5290480256080627,0.5111286044120789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447849375_3440207669610535_6825774654327103764_n.heic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9005559682846069,0.5913942456245422,0.5023691058158875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447804920_486577957126745_6210581744965358789_n.heic,0.6588235294117647,0.6039215686274509,0.4980392156862745,0.16795714199543,0.11684444546699524,0.5215686274509804,0.47058823529411764,0.3686274509803922,0.12726964056491852,0.09279999881982803,0.796078431372549,0.7411764705882353,0.6274509803921569,0.0820753276348114,0.06048888713121414,0.9665765166282654,0.8114157319068909,0.6804525256156921,0.6561350226402283,0.631487250328064,0.5344451665878296,0.04449462890625,0.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0
447612624_1920204195116820_3002657129667145462_n.heic,0.09019607843137255,0.08235294117647059,0.07450980392156863,0.11472266912460327,0.11986666917800903,0.4745098039215686,0.47058823529411764,0.37254901960784315,0.09462244808673859,0.04431110993027687,0.8470588235294118,0.7137254901960784,0.7058823529411765,0.0431097038090229,0.04835555702447891,0.9731213450431824,0.8641830086708069,0.8026334643363953,0.6714326739311218,0.6649364233016968,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0
447660886_391055119951678_1705153965734673832_n.heic,0.9450980392156862,0.7372549019607844,0.6352941176470588,0.22625213861465454,0.025866666808724403,0.9647058823529412,0.7215686274509804,0.5607843137254902,0.13821399211883545,0.004355555400252342,0.8196078431372549,0.7568627450980392,0.6392156862745098,0.1331324279308319,0.0812000036239624,0.9723459482192993,0.8936401605606079,0.8558388352394104,0.7006332278251648,0.6995816826820374,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0
447861416_825867576136215_5130480985134150766_n.webp,0.403921568627451,0.5098039215686274,0.49411764705882355,0.22050003707408905,0.0400925911962986,0.4549019607843137,0.5019607843137255,0.396078431372549,0.18080396950244904,0.028935184702277184,0.4196078431372549,0.47843137254901963,0.4470588235294118,0.11699321866035461,0.03361111134290695,0.9696332812309265,0.9352083802223206,0.897743284702301,0.8616365194320679,0.7253886461257935,0.6857666969299316,0.45465946197509766,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0
447045750_1433121490652885_2768526376644003202_n.webp,0.4235294117647059,0.48627450980392156,0.3607843137254902,0.15352416038513184,0.01117794495075941,0.4235294117647059,0.28627450980392155,0.18823529411764706,0.11727235466241837,0.17278195917606354,0.33725490196078434,0.32941176470588235,0.23921568627450981,0.11632481962442398,0.0362907275557518,0.9438973665237427,0.8975756764411926,0.8449646234512329,0.8382322788238525,0.7514156103134155,0.6950453519821167,0.4289875030517578,0.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0
447174757_1186004665910205_7030394858497242714_n.webp,0.28627450980392155,0.34901960784313724,0.24313725490196078,0.16796660423278809,0.011077694594860077,0.3254901960784314,0.30980392156862746,0.2235294117647059,0.10022267699241638,0.03879699110984802,0.23137254901960785,0.20784313725490197,0.12941176470588237,0.09250208735466003,0.07393483817577362,0.942993700504303,0.9053776860237122,0.7589458227157593,0.7057223320007324,0.695759654045105,0.7239150404930115,0.41295719146728516,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0
447102199_1139080947311013_4117930554504482041_n.webp,0.25882352941176473,0.33725490196078434,0.21568627450980393,0.19919729232788086,0.0175939854234457,0.42745098039215684,0.2901960784313726,0.19607843137254902,0.08256939053535461,0.1835087686777115,0.23137254901960785,0.20784313725490197,0.12549019607843137,0.0814378559589386,0.060150377452373505,0.9306923747062683,0.9065025448799133,0.7200191617012024,0.6847231984138489,0.6652310490608215,0.7038401365280151,0.42789793014526367,0.5051475763320923,0.0487518310546875,0.0,0.0,1.0,0.1,1.0,0.0
447619954_7580052592113487_5270184515354649994_n.jpg,0.5137254901960784,0.6431372549019608,0.6274509803921569,0.20426517724990845,0.16083332896232605,0.3137254901960784,0.33725490196078434,0.30196078431372547,0.09850096702575684,0.1097777783870697,0.5843137254901961,0.6235294117647059,0.596078431372549,0.1509455293416977,0.17283333837985992,0.8002517223358154,0.7808939218521118,0.7312474250793457,0.7251807451248169,0.7197766900062561,0.7409051060676575,0.7646560668945312,0.6179530024528503,0.225738525390625,0.576772153377533,0.225738525390625,0.2,0.0,1.0,0.0
447681862_801015521996627_8290274006767394044_n.jpg,0.1607843137254902,0.20784313725490197,0.19215686274509805,0.1261078119277954,0.12505555152893066,0.11764705882352941,0.22745098039215686,0.22745098039215686,0.12208621948957443,0.08488889038562775,0.2235294117647059,0.34509803921568627,0.34901960784313724,0.11194261163473129,0.09355555474758148,0.8114889860153198,0.7655343413352966,0.7394014000892639,0.5964890122413635,0.5584635138511658,0.6397797465324402,0.7258267402648926,0.0,0.0,0.0,0.0,0.6,0.0,1.0,1.0
447714158_757742769569707_8662689090390962721_n.jpg,0.6274509803921569,0.6078431372549019,0.6,0.20599617063999176,0.24022221565246582,0.396078431372549,0.3215686274509804,0.25882352941176473,0.12079162150621414,0.07850000262260437,0.7764705882352941,0.7411764705882353,0.7333333333333333,0.1750621497631073,0.20422221720218658,0.8371606469154358,0.8307428956031799,0.7713885307312012,0.6870365142822266,0.6855332255363464,0.6441390514373779,0.3601722717285156,0.5250841379165649,0.6816043853759766,0.5232435464859009,0.20935386419296265,0.3,0.0,1.0,0.0
447685750_8046598958713223_2899575611948385992_n.jpg,0.3215686274509804,0.3254901960784314,0.28627450980392155,0.20693233609199524,0.23549999296665192,0.047058823529411764,0.07058823529411765,0.023529411764705882,0.053064074367284775,0.060277778655290604,0.4666666666666667,0.4627450980392157,0.43137254901960786,0.12022746354341507,0.162222221493721,0.960224449634552,0.9078958034515381,0.9048432111740112,0.8956902027130127,0.8745310306549072,0.5359365940093994,0.848343014717102,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0
447833540_7752671851477067_3653494986324264664_n.jpg,0.7411764705882353,0.7686274509803922,0.7764705882352941,0.29905956983566284,0.3496111035346985,0.3607843137254902,0.3254901960784314,0.25882352941176473,0.045720864087343216,0.027888888493180275,0.07058823529411765,0.10588235294117647,0.10588235294117647,0.033904965966939926,0.028166666626930237,0.9441224336624146,0.8195935487747192,0.7640785574913025,0.7271401882171631,0.7206443548202515,0.552478551864624,0.194244384765625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
