,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
441194873_18436995793015183_5897724158877825507_n.jpg,1.3413799591663174,0.797926449069271,0.3776686721682108,0.01918464793164926,-0.7667969573230121,0.47996325841512527,-0.07551488217187137,-0.21287588080695713,-0.5972283765045958,0.5480551016129257,-0.27438261440367734,-0.3352895105441518,-0.08493501194864826,0.17608946369911874,0.09045930331180566,0.12757638282386555,0.10950878104735472
444500969_814925486842510_247374699371162267_n.webp,0.2496646426444637,-0.5212897489380066,0.2806492916620402,-0.4765337944952194,0.42134433163934387,0.4063694549585542,0.09534763922778904,-0.21891848478705841,0.03763355592122156,-0.18371819992574995,0.0572091525442606,0.031242214740865873,-0.030584076486557206,-0.0758688330958529,0.12486069828155075,-0.1536579479789525,-0.027434355318159593
447619913_424252503860357_4071290716504873426_n.heic,0.43345169030000985,0.0026336070054011305,-0.8521597498421771,-0.31286371789088707,-0.12257003017789313,-0.3268478731419574,-0.30102660050894225,-0.13730287983733183,0.09233860769462782,-0.090456221283914,0.0633335391589301,0.004498071801551964,-0.1392433898272408,0.03289305268516232,-0.06336922628860198,-0.1472241599751587,0.05647379869721523
447849375_3440207669610535_6825774654327103764_n.heic,0.653010589339232,0.10752645330486586,-0.826597865968169,-0.3379643387207757,-0.12956360146289694,-0.4684149787511719,-0.3649580682676704,-0.07944100951506126,0.22122723734528768,-0.17504556102237764,0.05650951129143504,-0.014288209965848779,-0.12464442840838608,0.013472124584588577,-0.025259904503547176,-0.07413104782519986,-0.07770388901028114
447804920_486577957126745_6210581744965358789_n.heic,-0.11204686820844713,-0.23749623161243844,0.15035860072059984,0.39814828335061686,0.0860570944043315,-0.30052411762005826,-0.08626080480356019,0.029428723711658448,-0.0919490077759353,-0.11350075282920132,-0.1340635825810766,-0.06708452713733581,-0.03554268132270866,0.04257809745069452,0.07369067050051789,0.04261639118673642,-0.08132181932523362
447612624_1920204195116820_3002657129667145462_n.heic,-0.07909113815101701,-0.4299346214623372,-0.437353648989303,0.03427821817214744,0.8055398052874334,-0.13066320079241409,-0.11104474479111533,-0.02381559662816905,-0.03904085942678411,-0.053627247937806675,0.10300963793537081,0.02644409187558347,-0.010921237563015433,0.06439324050927722,-0.04054315714060548,0.008242919836874751,-0.0672791348589353
447660886_391055119951678_1705153965734673832_n.heic,0.015348866189563992,-0.5883826513413339,-0.19184603159189292,0.7627330477104414,-0.22473350555634758,0.11265020227729554,-0.07244407691895087,0.22683761029330746,0.02347671301535062,-0.02286233601925134,0.13514198450595313,-0.02158504266244753,-0.04184324575361804,-0.02844746934970035,-0.07340947181406517,-0.03301348535945409,-0.019380099117895178
447591054_1402151627163713_1037344818148734375_n.jpg,-0.121919431095456,0.33201406967108166,0.26659960176976755,-0.29036407169605577,0.4780703580737965,0.49746342337911525,0.3610556981409885,-0.1891459955099755,-0.10375022635055095,0.21305753341509537,0.41557610447350046,-0.0027151591147651527,-0.08024798064119569,0.25402494801728565,0.42594269400067647,0.040007410620570116,0.0815547565852585
447917215_1390795211620216_7859036618501120198_n.jpg,-0.864179653408023,-0.04558905571544597,0.6964944495988129,-0.244148271673481,-0.021522284672170378,0.07308055166141673,-0.4404841739096105,-0.070938436717781,-0.0783231283837393,-0.08249807445624543,-0.03326321516243919,0.10432391344348496,0.09518729155030502,-0.0874747369618011,-0.008565626891458927,-0.10470820248180436,-0.07237898966725766
447613235_962317265364515_1639095122740888541_n.jpg,-0.6853925601464638,0.3025974040958528,-0.08407146985085145,0.7364898467393249,0.20526626297603576,-0.03712590547444487,-0.4897578528558876,0.09936929303407144,-0.09854402463211291,0.04751194116953899,-0.09929388740798059,0.1536608195447809,-0.053451445658250434,0.018132405293216435,-0.12753690899557016,-0.09376122989198164,-0.0708293490015647
447678082_1178285410017254_8069793776482891786_n.jpg,-0.8779851842099778,0.13922473897420856,0.01815484814734689,0.07134864354910006,0.529333585229659,-0.28521031550991643,-0.12240704608426188,-0.0461808646797761,-0.08580144823674908,-0.02448579414085513,0.22992150511009046,0.013801576495666767,-0.13505475010047246,0.25254019691058127,0.25456492772613354,0.03536049366931592,-0.0291485047839935
447693736_1169105407454295_4031064256890878091_n.jpg,-0.5247792860986276,0.06936247658980718,-0.1881323209731244,0.9086254510365283,-0.42596507424705,-0.0739523934462322,-0.20939469518552914,0.010872353424802505,-0.08312499329666566,-0.14776201963142735,-0.029515782538745677,0.041281602263268005,-0.14675395408859568,0.1379268765248464,0.18131936266195758,0.06894607105595785,-0.06402598952474027
447812244_830181195644020_6495836698832573382_n.jpg,-0.7916398463801203,0.10394258872773116,0.2636761911407233,-0.20262789175034457,-0.7990076920329454,0.08622387935815692,-0.15826060543394357,-0.11149746858013801,-0.044630926153192835,-0.01900308228396328,0.011203640536140244,-0.13258245394084062,-0.14602995890089737,0.2072184783272624,0.14483270206859084,-0.02346193740384473,-0.020658506094941357
434569119_1106797577043885_6325495216043385294_n.jpg,0.16681057324692158,-0.607206992544312,0.47834189158372253,-0.3426906382898781,0.23739029648963308,0.3522285965780139,0.05018366313334133,0.04814812208338163,-0.17904543759152133,-0.0689713878760215,0.1222139764329149,-0.001372538559621741,-0.05985455715395718,0.029244544284548035,-0.07565280767623934,0.03523735422116215,0.01151585230825528
442463367_941223651127109_3524963207010418270_n.webp,-0.623151728878999,0.03977946560547578,-0.34153518200969846,-0.34104314954103954,0.14322952086469315,-0.24036993894628556,0.2661690593659377,-0.4225273748696101,-0.10825694395546466,-0.26306253523525763,-0.08655042982795623,0.043093893648630865,-0.10819706152942067,-0.06558528251855761,0.048996036717921194,0.19535554811883937,-0.047746415144082247
436307978_2317752461905714_5794138977406830981_n.webp,-0.5211953250285876,-0.010110390009101874,-0.3221475383539886,-0.3812876452674343,0.07355721305509463,-0.04139309523863992,0.33009053277386013,-0.3980599101304898,-0.10542752952460915,-0.2917774899340908,-0.10329360027448115,0.09578105369325353,0.03899926028023842,0.10899037061722339,-0.020580874909075193,0.1431627097800911,-0.07964412490873424
447916793_520599410303296_3494590814192221054_n.jpg,0.46976528742915274,-0.34636428184986967,0.2866339366339514,-0.14396814509471728,0.45932624062438393,-0.48182796086510243,-0.3869687539185174,-0.3061332317094244,0.15663573728506777,-0.13701550876617974,0.18599952038051026,-0.2209266229523451,-0.036175755626685464,0.03410882838080457,-0.13885962168994023,-0.06198129501402756,0.06642674031477523
447917827_3406755922958421_3695745866695640131_n.jpg,0.9618312024536935,-0.1077382352240471,-0.07193444520610327,-0.3398308628144839,-0.10321652536535215,0.3693431789997365,0.07159750622465623,-0.3991133330693128,0.26320363457115725,-0.21999777236464074,0.2923154398305066,-0.6967962807153952,0.21550357220827226,-0.02507895908441495,-0.27170637245133156,0.12447130354782968,-0.06277688530712346
445227008_1951169905354393_5881264950990217940_n.webp,-0.17666978705013872,0.13892101166576315,0.42545588567008585,-0.5280991544654486,0.17863213149034315,-0.005318071567729759,-0.15577865118091153,-0.13587340303979384,0.014954956472416786,-0.22236878893312284,-0.002187127796265231,-0.10005322677583992,-0.04723871202510636,0.14304531532435621,0.27866784435633507,-0.04502200324762736,-0.08850668312447439
438108786_18111579034372424_829486813548795507_n.jpg,0.35708563917602676,0.7874850756680419,0.21476924136779213,-0.0695661594050408,0.5681823233483898,-0.7926115810556543,0.009815179412567482,-0.00967358958539262,0.12731965979709436,-0.12224423605770046,0.1563854078839555,0.17287632945792727,0.21898380416851793,0.2802683200185051,0.14070110721151094,0.39364731235616135,0.3643898305856288
