,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
447297093_833179998175047_207328966466854324_n.jpg,0.4594972042343049,0.17640527378643078,-0.5766771366991098,0.4013941954879998,-0.27441496398505444,0.12726617279575927,-0.2350228956408792,-0.013211738420545838,-0.3775693483238831,-0.08566759049036855,0.17424503704876163,-0.14477116449524624
447246500_752696356767338_1300568005027767656_n.jpg,0.42546140664957655,-0.3495514938454155,0.5370447745281018,0.5288588658782983,0.32264774529916906,-0.2241878208108598,0.31236405957839974,0.09742565877050739,-0.012564838894143664,0.02711747712901315,0.016341285856536217,0.01551384265008323
447143933_8359154497432905_5832389857734019331_n.jpg,-0.23151329363468404,-0.3319586663670155,-0.7858271546496866,0.08875673693325273,-0.27081998733270424,0.7123488769548705,0.3693150384329174,-0.2666125160186553,-0.13177733477688033,-0.1615790796688799,-0.06083987195989251,0.2508473261258308
447612942_1136708844620930_61716623720128602_n.jpg,-0.6904832204328386,-0.0982808824115392,-0.14248592417447867,0.017971946635676618,0.48740057988849983,-0.12318855694316119,-0.3079962316055635,0.2576015717958231,-0.24596224188748653,0.08693938142750711,-0.3504640369025876,-0.07122443824534533
447626962_818957329843559_5563873777847809868_n.jpg,-0.31146520901118474,0.6402802990627138,-0.5912189962465354,-0.42778215000368885,-0.23252361762419085,-0.2689609887094105,0.43341970806942043,0.18048466775669114,-0.09566070474146376,0.007418507694394651,0.10895320948624784,0.17535562867332297
447070490_865303798760315_3351564072050547683_n.jpg,1.8515595328279104,0.36173539895350343,-0.15361209049448066,-0.5454975807437124,-0.08209646834244246,0.0017614553036014696,-0.43930114003346665,0.10715299429746895,0.12059180896250359,-0.057454120779115395,-0.06939633635783524,0.15671247738626143
447297093_833179998175047_207328966466854324_n.jpg,0.45703466310783497,0.17561861763028522,-0.5774092001195315,0.40323789380051583,-0.2739236296766763,0.1263104795007141,-0.2321603373066816,-0.012882948889335857,-0.3780426695282193,-0.08583081244779117,0.17409273639916661,-0.14523732081573043
447246500_752696356767338_1300568005027767656_n.jpg,0.4254614066495761,-0.34955149384541523,0.5370447745281017,0.5288588658782983,0.32264774529916923,-0.22418782081085953,0.31236405957839963,0.09742565877050724,-0.012564838894143655,0.027117477129013048,0.016341285856536353,0.015513842650083228
447143933_8359154497432905_5832389857734019331_n.jpg,-0.23159429420372263,-0.33197903609651747,-0.7858584844391258,0.08882367387150333,-0.2707982116200057,0.7123356315496543,0.3694032239153762,-0.2665814390099524,-0.1317856126977207,-0.16157510103753236,-0.06087105973323739,0.2508674245040819
398115362_17986891310435467_2347204650678271363_n.jpg,-0.2123980641701221,-0.2836732114332931,-0.3404170124912863,0.23511268263371632,-0.2843628480754188,0.5907149226799797,0.1318330049377785,-0.10752897337945712,-0.14436578711473289,0.18270540688809084,-0.13745960097469062,0.009173496785177166
