,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
447297093_833179998175047_207328966466854324_n.jpg,0.44475634650246165,0.212811792507501,-0.6401934457247382,0.28616518651700334,-0.25368487944590146,0.11246713820601534,-0.2653535081613115,-0.003519113287806044,-0.3772497936793094,-0.06497911926263744,-0.1749438493381232,0.14243774993197225,-0.12281483628174858
447246500_752696356767338_1300568005027767656_n.jpg,0.4307946193671784,-0.3350447733340149,0.4266476289095167,0.6143130180550445,0.27452620327621063,-0.23039668996251142,0.3516734137154047,0.08638375608459319,-0.013129523711058917,0.027833091383245166,-0.02644421716026238,-0.029076981152283767,-0.04316027567572624
447143933_8359154497432905_5832389857734019331_n.jpg,-0.2403973375382122,-0.28300454122071234,-0.7993303115830889,-0.038434377660211926,-0.3024077104359536,0.7110892631858339,0.3393776462831402,-0.28756689078048475,-0.12887926574654093,-0.17139024654037135,-0.003368353829285893,-0.2690191010770746,-0.03403286973486899
447612942_1136708844620930_61716623720128602_n.jpg,-0.6927597426325023,-0.1273596166909541,-0.14207361328573448,-0.002745052225501405,0.4924777952615693,-0.12609337245405514,-0.22404811824060705,0.3044845298249351,-0.2475277334502682,0.013859580415307889,0.39800430287579913,0.0778149767194905,0.20165087013305608
447626962_818957329843559_5563873777847809868_n.jpg,-0.3523463916105922,0.6855998178633554,-0.48774997718044544,-0.524140849981466,-0.21412223644163014,-0.2625853064287722,0.4100544599868895,0.1240149694246855,-0.11420362744640292,0.03545284311666906,-0.16126733970407725,-0.17118798770327037,0.02045629867610119
447070490_865303798760315_3351564072050547683_n.jpg,1.8377566776594634,0.40947493495807946,-0.07980660485433176,-0.58953209971584,-0.036073239411191865,-0.008726197059851403,-0.39428863956633264,0.15225952155964004,0.11091249617008951,-0.05441856537649681,0.06205406919351505,-0.14984165011988207,-0.046498542231792575
447297093_833179998175047_207328966466854324_n.jpg,0.444756346502462,0.21281179250750146,-0.6401934457247387,0.2861651865170032,-0.25368487944590123,0.11246713820601574,-0.2653535081613116,-0.0035191132878059253,-0.3772497936793096,-0.06497911926263726,-0.17494384933812324,0.1424377499319725,-0.12281483628174869
447246500_752696356767338_1300568005027767656_n.jpg,0.43079461936717806,-0.33504477333401417,0.42664762890951646,0.6143130180550447,0.27452620327621013,-0.23039668996251111,0.3516734137154043,0.08638375608459298,-0.01312952371105909,0.027833091383245183,-0.026444217160262327,-0.02907698115228382,-0.04316027567572622
447143933_8359154497432905_5832389857734019331_n.jpg,-0.24039733753821182,-0.28300454122071217,-0.7993303115830891,-0.03843437766021242,-0.30240771043595405,0.7110892631858342,0.3393776462831404,-0.2875668907804848,-0.12887926574654088,-0.17139024654037152,-0.0033683538292855844,-0.2690191010770749,-0.03403286973486912
398115362_17986891310435467_2347204650678271363_n.jpg,-0.21565394740375377,-0.25097269190944504,-0.3835391437480782,0.1758746263138458,-0.3101391858675629,0.5853824867296823,0.12218578949723854,-0.10642418901774321,-0.1483874629950174,0.14775072722588353,0.17294938068566526,-0.015546109666874138,0.06836192260808793
