,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
447861416_825867576136215_5130480985134150766_n.webp,-0.4204584991932798,0.06667916666375812,0.02685506279016463,0.0016030170229197336,0.06344735991335032,0.1918379743977121,-0.30051424913082125,0.19509548919736164,0.1337434869781444,-0.027573963658112377,-0.0608668020286549,0.06413810023856104,-0.042101939016230834,0.030988051172370804,-0.04149391247139589,0.02902660190112189
447045750_1433121490652885_2768526376644003202_n.webp,-0.3241042579815616,-0.2993422393973941,-0.12892525841232336,0.03127994689186477,0.03695397592245975,0.2549623004887311,-0.18608236159361166,0.12297866463677941,0.004100155903138405,-0.04508730527272121,-0.05935892972875948,0.05936112760042948,-0.04863587355178218,-0.0010729228474292325,-0.050981687779766534,0.11508578893016659
447174757_1186004665910205_7030394858497242714_n.webp,-0.27654281874300984,-0.5151547849618577,-0.012964554947401218,0.14058589401188598,0.22339275494544486,0.21673387715205997,-0.30178058995380913,0.12471043819149231,0.012765085188844203,-0.050484738833363456,-0.14997286002202717,0.03643746103282218,-0.10761543298078992,-0.03848078680148387,0.024468565032433026,0.032421462962309286
447102199_1139080947311013_4117930554504482041_n.webp,-0.3432544575384222,-0.5400173632115588,-0.05263002608003717,0.09505306909359239,0.44880068822789326,-0.013869139127035208,-0.11034797943792726,0.11999793436970081,-0.01917805108970822,-0.00441813437428308,-0.01597249676155796,0.05753193440835689,0.08629969325334354,0.05095332940284864,0.21078996212964488,0.17780886593784137
445013687_7173727382731665_2682418181744660260_n.jpg,0.4343281524480931,0.5634416894329389,0.40398529666257865,0.5952912986979553,0.3567956568747517,-0.20924590050550743,-0.22163100333468091,-0.34907357995084537,0.2890338625677119,-0.22445167918806383,-0.05107116059738484,0.10542740080247302,0.01723768832199252,0.05572520715717998,-0.09789655528283264,0.14886442830670335
446585750_1570385623539011_3049729267940730823_n.jpg,0.16498699173026932,-0.3282252045608237,-0.4664424741761014,0.13222277701101268,-0.2893989794683078,-0.28125676358820145,-0.4657434481849166,0.05511604278303417,0.10086090128881818,-0.003191601469144059,-0.1195253399293025,0.04241910940663988,-0.025105117220197485,-0.06275650991596506,0.04779279315749392,0.03546912012531134
446130230_452759040736418_4973561229692033114_n.webp,-0.6388758706143306,-0.08944717983074338,-0.10335454279839439,-0.07261826434812925,0.28553955975600026,-0.38360949200163585,0.284202193287518,-0.027051646973659305,0.10774449366776839,0.18943812365320298,0.03255285612834135,0.03511488861219666,0.024621270870236352,-0.10095716905221325,-0.11041691987708349,-0.019058550129041524
447104113_984840283117870_3873624891877062784_n.jpg,0.33686814448899505,-0.20336423022431474,0.32056213473042333,-0.7380631536827861,-0.1608921609645307,-0.22487469973889157,-0.4955083953059167,0.006041865370782701,-0.02027497698456727,0.04273833335260659,0.0027318914555316794,-0.004958980247899294,0.08680726076803717,0.04161668183213814,-0.09318516024858646,0.09980087254209262
447518657_791085073115795_7768583223269121923_n.jpg,-0.26672213122848426,0.3913526947910854,-0.7116367752885301,-0.31269038288279316,0.3304893331983141,-0.4508265694209926,0.02201060664366726,0.03456522639582739,0.09577086563969028,0.13876593870335438,0.06828267306673759,-0.14294646151217363,-0.1144957944563925,-0.00270922080963857,-0.12748920068274316,-0.07262238393955592
447469408_486069220444423_5188209603816264877_n.jpg,0.7181049883639455,-0.07225792128826676,0.7222314148386226,-0.045447665445257995,0.5485096181109961,-0.1515915672904697,-0.4328844532204961,-0.27601766990053106,-0.10782743440949685,-0.029015343962628434,-0.04951310157943871,-0.04364903053357604,0.11665996621573607,-0.05146703620936546,-0.006130411019397883,-0.1261957708975709
