,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
441194873_18436995793015183_5897724158877825507_n.jpg,1.5826631830259343,-0.24020566658368755,-0.09447793623332926,-0.7778171770130407,-0.1340857436967089,0.6722906532730605,-0.04191296541035171,0.0277763646456198,-0.025117615263690322,-0.058092122200414535
444500969_814925486842510_247374699371162267_n.webp,0.05459682239583611,-0.13004401697983517,-0.5794476423838316,0.26760408439274275,-0.3582004874161907,-0.11246403916112456,0.02399451417196462,0.13083342688811833,0.05715218163440869,-0.07032515220082142
447619913_424252503860357_4071290716504873426_n.heic,0.5063516138504004,-0.6131533968357706,0.6240582422396159,0.13537235799270952,-0.15118244947253204,-0.1027232366956317,0.04499131807916072,0.07326831082467844,-0.13312223178184526,-0.16541680634033198
447849375_3440207669610535_6825774654327103764_n.heic,0.7774339254716635,-0.6730853462281005,0.6035615126923858,0.18255336282195958,-0.09408197241390816,-0.15662762079663325,0.03044117417022067,0.03399176109796693,-0.1736882858300792,-0.10811876367638248
447804920_486577957126745_6210581744965358789_n.heic,0.09413743419808986,0.48294629795660426,-0.019495806751438978,0.12031210620555131,0.00838619393358682,0.046067859351021236,0.04863898454320683,-0.03775682843359348,-0.06100220496122112,0.0017656955480164437
447612624_1920204195116820_3002657129667145462_n.heic,-0.15822586365218955,0.10853457792790368,0.2286016284964295,0.8386559650130843,-0.08985920952692483,0.015474284593001361,0.029292908667048815,-0.07567096077472778,-0.05863318252273903,-0.04245049018915119
447660886_391055119951678_1705153965734673832_n.heic,0.04137298442468197,0.7605357411382034,0.3818134316732594,-0.2838827879085865,0.1613145485575631,-0.02920579639236326,-0.04312938125670295,0.018638983880452632,-0.03376918218524506,-0.06408010522149712
447861416_825867576136215_5130480985134150766_n.webp,-0.2780745605010275,0.0691194041244194,0.025026987202242654,-0.006180779988102747,-0.26722466972864484,-0.030993626155452494,0.09622046698763578,0.02237912065990907,0.0019429962661565048,-0.07503066968561432
447045750_1433121490652885_2768526376644003202_n.webp,-0.3443054800164277,-0.21678264227410138,-0.21571743071934507,-0.012643399257721524,-0.08605563253537825,0.055337471672593605,0.07516097374961371,-0.011229664296212107,-0.01600488305791665,-0.10366483494473969
447174757_1186004665910205_7030394858497242714_n.webp,-0.27562623746168047,-0.5287461453716332,-0.18755369170095454,0.08525818411762258,-0.14221995853456612,0.04176456476921837,0.08380473250394316,-0.02490248749861063,0.0012207600017042066,-0.018554354286296176
447102199_1139080947311013_4117930554504482041_n.webp,-0.23692186821878372,-0.5573664208838188,-0.14875218552655298,0.10684523543632003,-0.08624875483145737,0.03923252118330274,0.05493930338754797,-0.008422705036477433,0.042228915846155755,-0.08270639535917804
447619954_7580052592113487_5270184515354649994_n.jpg,0.006263747574734053,0.32182300067742364,-0.2605787904403372,0.05845024911925542,-0.26209938799360416,0.1579703319346523,0.07424495937664484,-0.010964000058894863,-0.01943028290091499,-0.05759877727903135
447681862_801015521996627_8290274006767394044_n.jpg,-0.08028543757429836,-0.5230551055396986,-0.2892214075480752,0.41532288928501293,-0.3076659994031585,0.07342453972488859,0.0658105694868721,0.0419092813845251,-0.11518524123929469,-0.003087348659858719
447714158_757742769569707_8662689090390962721_n.jpg,0.034452581939360266,0.5464212398166762,-0.23906259902453167,0.16732004653849641,-0.11358834357034067,0.07564403483174652,-0.00887684380021032,-0.013475836024495346,-0.04117280975377637,-0.06673182196643986
447685750_8046598958713223_2899575611948385992_n.jpg,-0.5112631624660012,-0.10675200758869986,-0.5561829148992214,0.391132680049619,-0.21205851026728822,0.08312386966201205,0.036980664560812566,0.018957982400873215,-0.010372533089460829,-0.00674712545497351
447833540_7752671851477067_3653494986324264664_n.jpg,-0.12217189733291241,-0.24518634640134854,-0.3969118499532065,-0.6577232632106331,-0.24235438229202544,0.06370418511160035,0.010203830273867632,0.036086451865906345,0.03690012077937737,-0.06019094264040613
447717803_2317617655100246_3171712375455417552_n.jpg,0.056733194847118036,0.4542695822803289,-0.3469845542224915,-0.13834549160147994,-0.16773745657242792,0.04593291062746735,0.040937402271304386,-0.0475190468843734,-0.05691030891593825,-0.07946541036597789
447693763_1456464561923923_6742746305285298468_n.jpg,-0.14567744050570028,-0.8080731488873396,-0.3064535862529789,0.20240326627376573,-0.33580724191455547,0.0862901282153206,0.020302023025370947,0.008445606091925156,-0.004255856700691969,0.025990215968768084
447819138_849555427053955_951733568937063013_n.jpg,-0.12215736227276379,-0.5812662142392805,0.35603312553363,0.0980590770323848,-0.4451979730510729,-0.03378727312716049,0.08267717185884721,-0.052386481371573264,-0.10609141961212383,0.024314597784906723
447591054_1402151627163713_1037344818148734375_n.jpg,-0.05380100505180585,-0.15711024893729686,-0.3018892696485766,0.3443871292761247,-0.24396024633720287,0.1779591832501303,-0.009532369699940143,0.036632893114962775,0.014123554112031346,-0.025366503574748397
447836975_762209379440148_5895953985484941654_n.jpg,-0.00200206096977905,0.5797801248702472,0.013872643850607226,0.07946861725094846,-0.16209833601175416,0.05761601408010813,-0.01926722535408442,0.017127138115597608,0.016303752380809753,-0.0018868683825924225
445013687_7173727382731665_2682418181744660260_n.jpg,0.4098532463881497,0.07553392364570932,0.5092054094610367,0.6789438284288047,0.08965315311098435,-0.2859745722946023,0.13879033153012302,0.07095211072361107,-0.18463991545443714,-0.25948263936489846
446585750_1570385623539011_3049729267940730823_n.jpg,-0.3503298025899487,-0.19633582721242882,-0.6049769709527928,0.07596161704752359,-0.26332102789031936,0.07936611459202282,0.050782822930989624,-0.012859000806666089,-0.08271330088349063,-0.04035284514984777
446130230_452759040736418_4973561229692033114_n.webp,-0.44241792749727726,0.04210273352645007,-0.010504900084158584,0.012728311232615797,0.08714915131918871,-0.019297614604258734,0.01379113822064234,0.0383286600386688,0.05785274174698797,-0.024858344142446982
447104113_984840283117870_3873624891877062784_n.jpg,0.046127995074455516,-0.2695890752228697,0.07301563953002178,-0.8466332048023054,-0.20429158406228087,-0.07043139992182915,-0.05111593898681251,-0.04597019796597905,0.01828147821762622,-0.06376522408972987
