,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
447681862_801015521996627_8290274006767394044_n.jpg,0.31905698696723905,0.316563610245041,-0.4941641753907344,0.42339956078965896,0.412537858017477,0.17445196514069675,-0.6320355966036166,0.04749616218253476,0.1922133755920234,0.05711361469287864,0.046823426768150864,-0.15687152037101423,-0.01242129774451208,-0.018360660341855333,-0.014807375267102638,0.021995355022566693
447819138_849555427053955_951733568937063013_n.jpg,-0.08972402301589338,0.423880436792718,-0.5324960554428875,-0.13155281322393136,-0.13496682871758275,0.6027779602315555,-0.07311390109277438,0.4562207470774302,0.05784801167963277,-0.02853823632478727,-0.007021774443968539,-0.10162046708858437,-0.08281627777562511,-0.1222630603859835,-0.02681153030955771,0.05403650718542233
446346704_423457630547293_7321454315803388520_n.jpg,0.08618009291533694,1.1808764686480369,0.533672393307354,-0.2503448574076151,0.6751334054894387,-0.14795687410159114,0.3936474053126438,0.3458985897714419,-0.0792787900425455,0.035624338651855485,-0.11530348731813513,0.2205678611874506,0.08531610182504244,0.10957366760027767,0.11820327875228494,-0.08822789135686232
446343139_485817944013472_85990395159179919_n.jpg,-0.18074610488822834,0.10046896745925256,-0.09056374868665705,-0.9614088686331331,-0.2908212898838346,0.11208917328765824,-0.04930256028793294,-0.08038502489634605,0.0032252349173607663,-0.020316811776700097,0.07096770844334739,-0.14145908653305236,-0.0630010281559386,0.03547334681542443,-0.10642329829645,-0.05862808692223287
446346704_423457630547293_7321454315803388520_n.jpg,0.08623065235532788,1.1802360355039352,0.5333302878093638,-0.2505521194509112,0.6751093036085852,-0.1479605894022298,0.3933518062989582,0.3459951963923162,-0.07915509452435894,0.03556294635684609,-0.11505830285738311,0.22059306033111553,0.08505090963965706,0.10953663003500803,0.11780579752983034,-0.08774289654803295
405212796_732690724939077_3474785725554946972_n.jpg,-0.20770447953396706,-0.3299433184037692,0.20548570330021793,-0.42366372018376486,-0.6706687385055325,-0.289895811245893,-0.013068695856826075,0.3110484495113043,0.07291352183758619,-0.18024574931426454,4.2879711999859204e-05,-0.04257307902615385,-0.037734978442714714,-0.010431328406681553,0.029286545230632177,-0.1127138106447739
342222195_614476747242902_6870393440340467140_n.jpg,-0.5546539916168993,0.5812133493264774,0.09854702774079087,-0.13022705337175178,0.060353729074812325,-0.3512334963268915,0.20445972005849072,0.711244975721579,-0.11939088344676263,0.28378163277609586,0.21020609275630237,-0.13431612064452866,0.12162438174128996,-0.15050845151355774,-0.07702252490403645,0.05803836512079113
403901837_672904214930125_2727271248798524665_n.jpg,0.014147863756417684,0.529994575485416,-0.31080442057314245,0.4965077601830257,-0.5176535330291866,0.14295123116585018,0.002271792699982618,-0.07981747735003143,-0.18322324372717744,-0.04458372415232219,-0.10891768797876547,0.01354591424824277,-0.2739987044799711,-0.24166180727852077,-0.015674987068981724,0.1534299277100231
442459748_457901256781993_5540417900836114004_n.jpg,0.3501530551874863,0.31103821606293663,-0.3486263073290721,-0.013855034527711136,0.5108510911949765,0.31770252354405065,0.07507688649288505,0.4783688336682093,0.04080838296028708,0.11415262996876122,-0.18734030512737876,0.16536942142872554,-0.06991003623428871,0.28151492299111996,0.017389644225616372,0.1171246956892969
447936130_3318834441594441_2764859589299225956_n.webp,0.2026730295797927,-0.8820206112206649,0.16609042347548755,0.6090958823646806,0.5037981350929811,0.4657058369284581,0.5204586247075879,0.37043382511901746,-0.12249810035680257,0.13518440115368935,0.23597337748933542,-0.04733498432736962,-0.22915297972292492,0.17186308489199084,-0.041387280655330025,-0.10825222082405457
